journal_name,abdc_rank,source_id,openalex_name,issn_l,works_count,match_score
International Review of Economics and Finance,A,https://openalex.org/S168273071,International Review of Economics & Finance,1059-0560,5391,0.9545454545454546
Finance Research Letters,B,https://openalex.org/S88577320,Finance research letters,1544-6123,8914,1.0
Journal of Multinational Financial Management,B,https://openalex.org/S92422469,Journal of Multinational Financial Management,1042-444X,870,1.0
Emerging Markets Review,B,https://openalex.org/S197112600,Emerging Markets Review,1566-0141,1300,1.0
International Journal of Finance and Economics,B,https://openalex.org/S146099957,International Journal of Finance & Economics,1076-9307,2617,0.9555555555555556
Global Finance Journal,B,https://openalex.org/S150702451,Global Finance Journal,1044-0283,1256,1.0
Journal of International Financial Management and Accounting,B,https://openalex.org/S83262020,Journal of International Financial Management and Accounting,0954-1314,621,1.0
Applied Financial Economics,B,https://openalex.org/S35128040,Applied Financial Economics,0960-3107,2304,1.0
Managerial Finance,B,https://openalex.org/S184351885,Managerial Finance,0307-4358,2855,1.0
Quarterly Review of Economics and Finance,B,https://openalex.org/S125273398,The Quarterly Review of Economics and Finance,1062-9769,2459,0.9534883720930232
Journal of Economics and Finance,B,https://openalex.org/S171491724,Journal of Economics and Finance,1055-0925,1224,1.0
Review of Quantitative Finance and Accounting,B,https://openalex.org/S62110574,Review of Quantitative Finance and Accounting,0924-865X,2075,1.0
International Finance,B,https://openalex.org/S2165841,International Finance,1367-0271,1060,1.0
Journal of Financial Crime,B,https://openalex.org/S180105601,Journal of Financial Crime,1359-0790,1762,1.0
Journal of Financial Planning,B,https://openalex.org/S2764872943,Journal of financial planning,1040-3981,559,1.0
Research in International Business and Finance,B,https://openalex.org/S8133038,Research in International Business and Finance,0275-5319,3107,1.0
Review of Pacific Basin Financial Markets and Policies,B,https://openalex.org/S183776795,Review of Pacific Basin Financial Markets and Policies,0219-0915,904,1.0
Journal of Financial Regulation,B,https://openalex.org/S2734559656,Journal of Financial Regulation,2053-4833,140,1.0
"Journal of Financial Management, Markets and Institutions",B,https://openalex.org/S4210219052,Journal of Financial Management Markets and Institutions,2282-717X,118,0.991150442477876
Journal of Risk,B,https://openalex.org/S4210171086,The Journal of Risk,1465-1211,548,0.8823529411764706
Journal of Financial Econometrics,B,https://openalex.org/S207154782,Journal of Financial Econometrics,1479-8409,689,1.0
Asian Journal of Finance and Accounting,B,https://openalex.org/S2764774255,Asian Journal of Finance & Accounting,1946-052X,428,0.9473684210526316
Journal of Investing,B,https://openalex.org/S118000741,The Journal of Investing,1068-0896,1760,0.9090909090909092
Borsa Istanbul Review,B,https://openalex.org/S2764882396,Borsa Istanbul Review,2214-8450,820,1.0
Journal of Risk and Financial Management,B,https://openalex.org/S4210217951,Journal of risk and financial management,1911-8066,3999,1.0
"International Journal of Banking, Accounting and Finance",B,https://openalex.org/S164875865,International Journal of Banking Accounting and Finance,1755-3830,345,0.990990990990991
Journal of Financial Counseling and Planning,B,https://openalex.org/S2912066455,Journal of Financial Counseling and Planning,1052-3073,372,1.0
Financial Markets and Portfolio Management,B,https://openalex.org/S4210231290,Financial markets and portfolio management,1934-4554,586,1.0
Journal of Structured Finance,B,https://openalex.org/S3430023,The Journal of Structured Finance,1082-3220,36,0.935483870967742
Journal of Trading,B,https://openalex.org/S961788667,The Journal of Trading,1559-3967,590,0.9
Emerging Markets Finance and Trade,B,https://openalex.org/S166264140,Emerging Markets Finance and Trade,1540-496X,3531,1.0
International Journal of Monetary Economics and Finance,C,https://openalex.org/S98077829,International Journal of Monetary Economics and Finance,1752-0479,803,1.0
Journal of Financial Management and Analysis,C,https://openalex.org/S2764547682,Journal of Financial Management and Analysis,0970-4205,55,1.0
International Journal of Financial Studies,C,https://openalex.org/S2764827305,International Journal of Financial Studies,2227-7072,1161,1.0
Journal of Finance and Investment Analysis,C,https://openalex.org/S2764478856,Journal of finance and investment analysis,2241-0988,151,1.0
Journal of Applied Finance,C,https://openalex.org/S2911964755,Journal of applied finance,1534-6668,47,1.0
Investment Management and Financial Innovations,C,https://openalex.org/S2764412428,Investment Management and Financial Innovations,1810-4967,1342,1.0
African Journal of Economic and Management Studies,C,https://openalex.org/S42260610,African Journal of Economic and Management Studies,2040-0705,606,1.0
Journal of Financial Economic Policy,C,https://openalex.org/S181870614,Journal of Financial Economic Policy,1757-6385,553,1.0
